,1,2,3,4,5,6,7
오펀: 천사의 탄생,50.65053,65.58598,81.25524,70.3160259269929,62.02484096716203,48.21994,44.97789
플라워 킬링 문,49.38352,81.72514,70.3160259269929,60.53790052903532,52.9375,43.69105,40.73437
마루이 비디오,95.90349,91.98204,84.81183,70.3160259269929,72.79808673532305,65.40195,59.91448
가여운 것들,52.48738,70.97628,84.97106,70.3160259269929,60.78923720952282,88.56079,67.85662
아가일,81.04411,100.0,93.82305,58.87101687217813,69.65648590051374,71.14491,42.23669
보호자,100.0,64.38409,64.11896,62.2226,46.69425003034892,34.381809890188094,30.38294
길위에 김대중,61.44207,72.56097,79.42073,70.3160259269929,74.25621912312386,63.52134,60.67987
패스트 라이브즈,66.2329,80.49518,91.47591,70.3160259269929,61.43187526462009,66.90103,50.60541
다음 소희,67.02359,69.20908,90.66881,70.3160259269929,62.91095968680798,56.37375,56.96439
에브리씽 에브리웨어 올 앳 원스+,100.0,62.05956,57.26163,53.19826444891538,48.87144568775664,41.96142,45.23274
에어,62.07442,72.50694,73.62455,70.3160259269929,52.718237606097944,38.49085,44.66435
블랙폰,69.77915,100.0,99.11142,59.794456145869546,61.227020676408195,64.61615,42.06482
스마일,59.80672,71.35662,57.06038623616066,79.75650699314565,71.04069,47.74763,40.43858
추락의 해부,93.3494,100.0,87.14351,68.12911314143231,73.44307760737664,76.83479,63.88075
뉴 노멀,58.08263,75.89417,73.66356,70.3160259269929,71.8890619468687,77.88331,71.72112
비키퍼,80.07967,87.23357,94.12694,70.3160259269929,58.601428490543135,45.74228,44.93377
엘비스,96.19069,100.0,88.24501,66.03684572676946,65.95958836141537,70.10373,61.92678
화사한 그녀,62.84196,90.58772,86.99695,70.3160259269929,67.03851843671724,52.77492,43.42185
방탄소년단: 옛 투 컴 인 시네마,42.11079,100.0,61.37213,45.83773051853221,46.58987521915582,32.22884,33.35086
파벨만스,53.62419,60.61836,74.75527,70.3160259269929,62.08417980836493,52.90612,48.71325
