,1,2,3,4,5,6,7,8,9,10,11,12,13,14
용감한 시민,67.02439,90.81134,91.57491,70.3160259269929,65.79573659344865,54.44698,48.79741,42.19711,33.85166,35.30114,31.176353932175296,26.66622123322608,20.89696,16.36933
화란,74.85742,85.45832,83.27161,70.3160259269929,69.35129762650448,57.3594,48.13237,44.55451,35.83358,34.70535,29.267091006590025,30.073100185945286,25.2049,20.67348
크리에이터,100.0,71.14004,55.12649,59.34476,48.991221459690436,75.25157235474761,63.25076,32.3129,22.24409,18.91605,21.40573,18.769548211525922,14.462040046148918,12.59024
옥수역귀신,64.01933,56.54503,72.47971,70.3160259269929,72.3799074178566,64.43807,56.5258,55.75215,57.05993,72.3923,65.9977992375722,63.036448574910985,58.98839,42.69966
아임 히어로 더 파이널,77.86812,74.86056,85.48605,70.3160259269929,64.50985433380096,45.32447,43.82851,41.90252,39.85665,36.87516,34.76583939209384,32.48253628655752,24.40969,28.98618
데드맨,61.7934,91.17643,100.0,63.79808893529289,64.1393694075164,54.72236,32.679,21.47767,19.16622,17.91103,14.697821382594878,15.3116701638455,12.59388,10.58422
소울메이트,51.98287,69.77227,80.3816,70.3160259269929,69.80754472475877,55.09062,47.52014,38.42839,33.90319,34.81631,33.62162186019684,36.985293572314646,30.96172,24.19412
메간,62.03538,70.2381,74.6164,70.3160259269929,60.73957283261819,48.76339,49.25035,36.15824,30.20717,32.11774,27.431709129446254,27.465197993331312,22.77328,20.68065
나폴레옹,77.35659,89.814,87.66815,70.3160259269929,67.38955075094619,62.62525,54.46328,42.24332,31.50906,38.14804,30.83417505520677,25.363542253205633,22.68195,21.02842
젠틀맨,71.10829,88.07741,98.44341,70.3160259269929,66.25644208044386,49.37449,39.18155,32.18188,19.78164,18.76501,16.10636388755403,16.95630516759906,14.20207,11.49042
스턴트맨,75.40627,66.80513,73.07109,58.10559880355244,79.75650699314565,66.70689,43.01832,30.41202,25.17471,28.15262,27.144362689495598,23.233676636556474,20.44402,22.51536
바빌론,57.14943,68.17734,82.09204,70.3160259269929,65.1343318322559,48.11269,42.10485,31.67351,29.0725,31.95852,29.71297195859568,30.042736883733,25.16046,21.91604
멍뭉이,100.0,72.01165,76.17047,65.34687675396343,62.07702564968764,50.40314,35.54712,33.07812,30.51561,30.18903,30.679107123229972,40.85689773998152,28.59001,24.25367
킬링 로맨스,70.96065,70.3160259269929,60.27645869911178,50.95243,46.67035,42.81276,41.59114,50.71053,42.42016071040258,37.94383917596107,37.07187,33.04381,24.40957,25.97686
헝거게임: 노래하는 새와 뱀의 발라드,68.70687,85.92625,85.2536,70.3160259269929,58.10980140578668,48.39008,43.73346,35.82609,25.12797,29.60654,24.968039497439605,22.505659240723045,19.6565,19.51183
오멘: 저주의 시작,47.34973,57.59075,73.99614,70.3160259269929,61.80151477193052,42.25797,60.39978,52.42274,28.14656,31.16936,27.94813815026446,26.021166555966914,21.43214,17.44299
오펀: 천사의 탄생,50.65053,65.58598,81.25524,70.3160259269929,62.02484096716203,48.21994,44.97789,37.39935,34.05086,40.46483,40.20296984407782,35.19964108854651,27.59056,23.88018
플라워 킬링 문,49.38352,81.72514,70.3160259269929,60.53790052903532,52.9375,43.69105,40.73437,35.85014,37.94673,33.94795150492143,31.98869994655736,28.62855,26.53267,21.21661
마루이 비디오,95.90349,91.98204,84.81183,70.3160259269929,72.79808673532305,65.40195,59.91448,60.23278,28.26601,26.47717,28.762489141332743,26.95359987922378,16.55579,12.45504
가여운 것들,52.48738,70.97628,84.97106,70.3160259269929,60.78923720952282,88.56079,67.85662,52.51916,37.29426,40.68537,37.25619395593977,34.016453307303195,28.85157,30.55838
아가일,81.04411,100.0,93.82305,58.87101687217813,69.65648590051374,71.14491,42.23669,26.25618,26.04973,26.00267,21.45964951022267,21.014866563308562,16.10195,14.75392
보호자,100.0,64.38409,64.11896,62.2226,46.69425003034892,34.381809890188094,30.38294,27.87543,26.21424,24.37031,23.48429,18.013608743195192,15.270444025380742,14.1463
길위에 김대중,61.44207,72.56097,79.42073,70.3160259269929,74.25621912312386,63.52134,60.67987,55.10365,53.42987,59.64329,60.19522936724304,55.36511680367947,46.86585,42.78658
패스트 라이브즈,66.2329,80.49518,91.47591,70.3160259269929,61.43187526462009,66.90103,50.60541,35.13832,31.74943,33.87443,28.55533812895182,31.829306567331557,27.96859,25.74953
다음 소희,67.02359,69.20908,90.66881,70.3160259269929,62.91095968680798,56.37375,56.96439,34.32339,38.40401,54.01263,41.678488363732434,39.016316949847194,51.88096,39.91671
에브리씽 에브리웨어 올 앳 원스+,70.89775,43.99884,40.59721,37.716377187618974,34.64875491909415,29.74971,32.06899,23.35717,21.74816,22.64205,21.98564854216954,24.239868777480602,100.0,75.39621
에어,62.07442,72.50694,73.62455,70.3160259269929,52.718237606097944,38.49085,44.66435,33.65648,27.0673,21.8834,18.421758115688423,15.70740600024409,13.712,12.26356
블랙폰,69.77915,100.0,99.11142,59.794456145869546,61.227020676408195,64.61615,42.06482,32.19607,24.33773,32.2368,28.40158510665986,23.979064999613016,17.98441,14.66891
스마일,59.80672,71.35662,57.06038623616066,79.75650699314565,71.04069,47.74763,40.43858,30.84556,33.79111,29.33122625383804,29.3235963871279,26.08994,22.78015,20.36981
추락의 해부,93.3494,100.0,87.14351,68.12911314143231,73.44307760737664,76.83479,63.88075,52.63384,60.63866,61.55391,41.278938641210075,45.62417545683211,50.7517,37.95547
뉴 노멀,58.08263,75.89417,73.66356,70.3160259269929,71.8890619468687,77.88331,71.72112,62.9681,51.6296,55.7693,35.2100749490928,31.801726767213328,27.16624,21.30288
비키퍼,80.07967,87.23357,94.12694,70.3160259269929,58.601428490543135,45.74228,44.93377,35.39467,23.23841,23.67209,19.090702596742275,17.382547867922526,16.79385,13.65225
엘비스,96.19069,100.0,88.24501,66.03684572676946,65.95958836141537,70.10373,61.92678,48.28531,37.51486,39.07096,31.56182638630707,32.96661840575242,32.67146,29.50971
화사한 그녀,62.84196,90.58772,86.99695,70.3160259269929,67.03851843671724,52.77492,43.42185,35.13974,23.00043,20.74009,16.351766818039234,16.09851595923708,14.20113,12.83064
방탄소년단: 옛 투 컴 인 시네마,42.11079,100.0,61.37213,45.83773051853221,46.58987521915582,32.22884,33.35086,29.78027,28.82772,32.0769,20.295159868050924,18.02817679203204,16.81276,16.01799
파벨만스,53.62419,60.61836,74.75527,70.3160259269929,62.08417980836493,52.90612,48.71325,42.87789,32.68954,38.8798,31.55103287632728,29.63467866700397,26.70232,24.766
엑소시스트: 믿는 자,53.58088,66.63497,70.99131,70.3160259269929,62.709789849219156,44.24561,34.69037,27.39999,23.81351,27.56589,28.609544753338938,26.169218559898294,19.10487,13.30574
챌린저스,67.18599,90.35105,94.29423,67.69337879196793,75.4575674610095,90.91227,100.0,71.31916,44.37169,44.09108,37.64807923163609,48.70575952012908,52.96542,40.2619
샤잠! 신들의 분노,68.00399,78.27349,80.58376,70.3160259269929,62.035783559921484,41.68655,34.88707,26.01409,20.5427,20.13576,21.179475304916565,15.252618446067775,9.87551,8.18119
보 이즈 어프레이드,53.77685,61.11548,55.07383,70.3160259269929,47.4581205055846,45.19369,36.11613,27.2248,22.79224,22.88011,18.306102316243706,18.402123150720104,19.5334,16.32832
쏘우 X,71.83176,85.44549,91.51317,70.3160259269929,68.69307514994075,54.38662,49.37869,30.4001,17.75359,15.89627,14.91434552123187,18.020241019586223,19.21212,11.18136
익스펜더블 4,84.50743,99.00015,93.993,70.3160259269929,61.06347198316805,41.72298,35.5669,21.71622,17.37695,18.48214,13.817767096900415,13.22827866382125,12.05176,10.5828
본즈 앤 올,100.0,91.68885,79.10785,63.15965457788876,73.55069306226248,61.27907,57.37917,40.15835,36.64019,38.07997,30.338770526140735,29.777363058014707,31.11907,28.2018
신체모음.zip,67.70229,59.46383,66.2315,68.95226769894666,79.75650699314565,58.98152,45.69159,34.69902,32.54482,37.28952,41.974385232435814,35.83849868521231,28.78348,27.2343
시맨틱 에러: 더 무비,52.55693,65.44388,69.08495,56.23939038064228,79.75650699314565,63.23469,76.80349,42.60193,64.83021,78.63084,46.35314698857707,50.36852317792218,45.82026,24.99659
